setting;power
0;-0.002
0.1;-0.002
0.2;0
0.3;0.002
0.4;0.004
0.6;0.008
0.8;0.012
1;0.015
1.5;0.025
2;0.034
2.5;0.042
3;0.05
3.5;0.057
4;0.064
5;0.077
6;0.088
7;0.096
8;0.103
9;0.108
10;0.111
