setting;power
0;-0.002
0.1;-0.002
0.2;0.001
0.3;0.004
0.4;0.007
0.5;0.01
0.6;0.013
0.8;0.02
1;0.026
1.2;0.032
1.4;0.037
1.6;0.043
1.8;0.048
2;0.054
2.5;0.0667
3;0.079
3.5;0.091
4;0.103
4.5;0.113
5;0.124
5.5;0.134
6;0.144
6.5;0.153
7;0.161
8;0.177
9;0.19
10;0.201
