setting;power
0;-0.003
0.1;-0.003
0.2;0.003
0.3;0.01
0.4;0.016
0.5;0.023
0.6;0.03
0.7;0.037
0.8;0.044
0.9;0.05
1;0.057
1.2;0.069
1.4;0.081
1.6;0.094
1.8;0.106
2;0.117
2.5;0.147
3;0.174
3.5;0.201
4;0.227
4.5;0.251
5;0.275
5.5;0.298
6;0.32
6.5;0.34
7;0.36
7.5;0.378
8;0.396
8.5;0.413
9;0.429
9.5;0.443
10;0.457
