setting;power
0.1;0.028
0.11;0.030
0.19;0.050
0.2;0.053
0.3;0.078
0.38;0.100
0.44;0.113
0.5;0.128
0.59;0.150
0.6;0.152
0.7;0.175
0.8;0.200
1.0;0.250
1.21;0.300
1.5;0.367
2.0;0.478
2.1;0.500
2.5;0.583
3.0;0.685
3.34;0.750
3.5;0.780
