setting;power
0;-0.002
0.05;-0.002
0.1;0.021
0.15;0.03
0.2;0.039
0.25;0.048
0.3;0.0575
0.35;0.066
0.4;0.075
0.45;0.084
0.5;0.092
0.6;0.108
0.7;0.125
0.8;0.141
0.9;0.159
1;0.176
1.1;0.192
1.2;0.208
1.3;0.224
1.4;0.24
1.5;0.256
1.6;0.271
1.7;0.286
1.8;0.302
1.9;0.317
2;0.332
2.2;0.361
2.4;0.39
2.6;0.419
2.8;0.446
3;0.474
3.2;0.501
3.4;0.528
3.6;0.553
3.8;0.578
4;0.603
4.2;0.628
4.4;0.651
4.6;0.675
4.8;0.698
5;0.722
