setting;power
0;-0.002
0.1;-0.001
0.2;0.002
0.3;0.006
0.4;0.009
0.6;0.016
0.8;0.022
1;0.029
1.5;0.044
2;0.059
2.5;0.072
3;0.086
3.5;0.098
4;0.11
4.5;0.122
5;0.133
5.5;0.144
6;0.154
6.5;0.163
7;0.172
7.5;0.181
8;0.189
9;0.202
10;0.213
