setting;power
0;-0.002
0.05;-0.002
0.1;0
0.15;0.004
0.2;0.007
0.25;0.01
0.3;0.013
0.4;0.019
0.5;0.025
0.6;0.032
0.7;0.0375
0.8;0.044
0.9;0.049
1;0.055
1.2;0.067
1.4;0.078
1.6;0.089
1.8;0.099
2;0.11
2.5;0.136
3;0.16
3.5;0.183
4;0.206
4.5;0.227
5;0.248
5.5;0.267
6;0.286
6.5;0.304
7;0.321
7.5;0.336
8;0.351
8.5;0.364
9;0.376
9.5;0.387
10;0.396
