setting;power
0;-0.004
0.05;-0.004
0.1;0.007
0.15;0.015
0.2;0.025
0.25;0.034
0.3;0.044
0.35;0.053
0.4;0.062
0.45;0.072
0.5;0.081
0.6;0.101
0.7;0.119
0.8;0.138
0.9;0.157
1;0.1765
1.1;0.195
1.2;0.214
1.3;0.232
1.4;0.251
1.5;0.27
1.6;0.288
1.7;0.306
1.8;0.324
1.9;0.342
2;0.361
2.2;0.397
2.4;0.432
2.6;0.468
2.8;0.503
3;0.538
3.2;0.572
3.4;0.605
3.6;0.638
3.8;0.672
4;0.704
4.5;0.785
5;0.865
