setting;power
0;-0.002
0.1;-0.001
0.2;0.001
0.3;0.004
0.4;0.007
0.5;0.01
0.6;0.12
0.8;0.017
1;0.023
1.2;0.0275
1.4;0.032
1.6;0.037
1.8;0.042
2;0.046
2.5;0.058
3;0.068
3.5;0.078
4;0.088
4.5;0.098
5;0.107
5.5;0.116
6;0.125
6.5;0.133
7;0.14
7.5;0.148
8;0.155
9;0.169
10;0.181
