setting;power
0;-0.003
0.05;-0.003
0.1;0.022
0.15;0.034
0.2;0.044
0.25;0.054
0.3;0.065
0.35;0.074
0.4;0.085
0.45;0.095
0.5;0.106
0.6;0.125
0.7;0.144
0.8;0.164
0.9;0.184
1;0.205
1.1;0.225
1.2;0.244
1.3;0.264
1.4;0.283
1.5;0.303
1.6;0.322
1.8;0.36
2;0.397
2.2;0.433
2.4;0.47
2.6;0.507
2.8;0.543
3;0.577
3.2;0.612
3.4;0.646
3.6;0.68
3.8;0.712
4;0.725
