setting;power
0;-0.002
0.1;-0.001
0.2;0.005
0.3;0.011
0.4;0.017
0.5;0.023
0.6;0.029
0.8;0.041
1;0.053
1.2;0.065
1.4;0.076
1.6;0.088
1.8;0.099
2;0.11
2.5;0.137
3;0.163
3.5;0.189
4;0.213
4.5;0.236
5;0.258
5.5;0.28
6;0.3
6.5;0.32
7;0.338
7.5;0.355
8;0.372
8.5;0.387
9;0.4
9.5;0.413
10;0.424
