setting ;power
0;-0.002
0.1;-0.002
0.2;0
0.3;0.003
0.4;0.006
0.5;0.009
0.6;0.011
0.7;0.014
0.8;0.016
1;0.022
1.2;0.027
1.4;0.032
1.6;0.036
1.8;0.041
2;0.046
2.5;0.057
3;0.0675
3.5;0.078
4;0.088
4.5;0.097
5;0.107
5.5;0.115
6;0.124
6.5;0.132
7;0.14
7.5;0.148
8;0.155
9;0.168
10;0.181
