setting;power
0;-0.005
0.05;-0.004
0.1;0.055
0.15;0.073
0.2;0.089
0.25;0.106
0.3;0.123
0.35;0.139
0.4;0.155
0.45;0.17
0.5;0.185
0.6;0.217
0.7;0.249
0.8;0.281
0.9;0.313
1;0.342
1.1;0.373
1.2;0.403
1.3;0.433
1.4;0.461
1.5;0.491
1.6;0.52
1.7;0.55
1.8;0.578
1.9;0.607
2;0.636
2.2;0.693
2.4;0.748
2.6;0.804
2.8;0.857
