setting;power
0.00;-0.003
0.05;0.005
0.1;0.015
0.14;0.025
0.15;0.028
0.2;0.041
0.24;0.05
0.3;0.067
0.34;0.075
0.4;0.093
0.43;0.1
0.45;0.105
0.5;0.119
0.55;0.129
0.6;0.142
0.62;0.150
0.65;0.156
0.7;0.171
0.75;0.182
0.8;0.195
0.82;0.2
0.9;0.221
1.0;0.247
1.1;0.273
1.2;0.297
1.21;0.3
1.3;0.324
1.4;0.349
1.5;0.374
1.6;0.399
1.7;0.424
1.8;0.445
1.9;0.470
2.0;0.495
2.2;0.543
2.4;0.591
2.6;0.638
2.8;0.683
3.0;0.729
3.5;0.840
4.0;0.946
5.0;1.147
7.5;1.590
