setting;power
0;-0.002
0.1;-0.001
0.2;0.002
0.3;0.005
0.4;0.009
0.5;0.012
0.6;0.015
0.8;0.021
1;0.027
1.2;0.033
1.4;0.039
1.6;0.044
1.8;0.05
2;0.055
2.5;0.068
3;0.08
3.5;0.092
4;0.104
4.5;0.115
5;0.125
5.5;0.135
6;0.145
6.5;0.154
7;0.162
7.5;0.17
8;0.177
8.5;0.184
9;0.19
10;0.2
