setting;power
0;-0.002
0.1;-0.002
0.2;0.004
0.3;0.01
0.4;0.017
0.5;0.023
0.6;0.03
0.8;0.042
1;0.054
1.2;0.066
1.4;0.077
1.6;0.088
1.8;0.099
2;0.11
2.5;0.136
3;0.16
3.5;0.185
4;0.208
4.5;0.2295
5;0.251
5.5;0.271
6;0.29
6.5;0.308
7;0.326
7.5;0.342
8;0.357
8.5;0.371
9;0.384
9.5;0.396
10;0.406
