setting;power
0.00;-0.002
0.05;0.020
0.06;0.025
0.1;0.034
0.16;0.050
0.2;0.060
0.25;0.073
0.26;0.076
0.3;0.086
0.36;0.1
0.4;0.109
0.45;0.124
0.5;0.137
0.55;0.150
0.6;0.161
0.7;0.186
0.75;0.2
0.8;0.212
0.9;0.239
0.94;0.25
1.0;0.261
1.1;0.289
1.15;0.3
1.2;0.313
1.3;0.334
1.4;0.361
1.5;0.384
1.6;0.410
1.7;0.433
1.8;0.458
1.9;0.479
2.0;0.503
2.2;0.550
2.4;0.597
2.6;0.641
2.8;0.687
3.0;0.731
3.5;0.838
4.0;0.940
