setting;power
0;-0.002
0.2;0.001
0.4;0.005
0.6;0.008
0.8;0.012
1;0.016
1.5;0.025
2;0.034
2.5;0.0425
3;0.05
3.5;0.058
4;0.065
4.5;0.071
5;0.077
6;0.088
7;0.096
8;0.103
9;0.108
10;0.11
