setting;power
0;-0.002
0.1;-0.002
0.2;0.001
0.3;0.004
0.4;0.008
0.5;0.011
0.6;0.014
0.8;0.02
1;0.026
1.2;0.032
1.4;0.038
1.6;0.043
1.8;0.049
2;0.054
2.5;0.067
3;0.08
3.5;0.092
4;0.103
4.5;0.114
5;0.125
5.5;0.135
6;0.144
6.5;0.153
7;0.162
7.5;0.17
8;0.177
9;0.19
10;0.201
