setting;power
0;-0.002
0.2;0.001
0.4;0.005
0.6;0.009
0.8;0.013
1;0.018
1.5;0.027
2;0.037
2.5;0.046
3;0.055
3.5;0.063
4;0.07
4.5;0.0775
5;0.084
6;0.096
7;0.105
8;0.113
9;0.118
10;0.121
