setting;power
0;-0.002
0.1;-0.002
0.2;0.003
0.3;0.01
0.4;0.015
0.5;0.022
0.6;0.027
0.7;0.033
0.8;0.038
0.9;0.044
1;0.049
1.2;0.059
1.4;0.07
1.6;0.08
1.8;0.09
2;0.1
2.5;0.1235
3;0.146
3.5;0.168
4;0.188
4.5;0.209
5;0.228
5.5;0.246
6;0.264
6.5;0.28
7;0.296
7.5;0.31
8;0.324
9;0.347
10;0.367
