setting;power
0;-0.002
0.1;-0.002
0.2;0.002
0.3;0.008
0.4;0.014
0.5;0.02
0.6;0.026
0.8;0.038
0.9;0.044
1;0.05
1.2;0.062
1.4;0.074
1.6;0.085
1.8;0.096
2;0.107
2.2;0.118
2.4;0.129
2.6;0.14
2.8;0.15
3;0.161
3.5;0.186
4;0.21
4.5;0.234
5;0.256
6;0.299
7;0.337
8;0.371
9;0.401
10;0.426
