setting;power
0;-0.003
0.1;-0.0025
0.2;0.001
0.3;0.004
0.4;0.008
0.5;0.011
0.6;0.015
0.7;0.018
0.8;0.021
1;0.028
1.2;0.034
1.4;0.04
1.6;0.046
1.8;0.052
2;0.0575
2.5;0.071
3;0.084
3.5;0.097
4;0.11
4.5;0.121
5;0.132
5.5;0.143
6;0.153
6.5;0.163
7;0.172
7.5;0.18
8;0.188
8.5;0.195
9;0.201
9.5;0.207
10;0.212
