setting;power
0;-0.003
0.05;0.02
0.1;0.035
0.15;0.051
0.2;0.065
0.25;0.08
0.3;0.094
0.35;0.109
0.4;0.123
0.45;0.136
0.5;0.151
0.55;0.164
0.6;0.179
0.7;0.208
0.8;0.236
0.9;0.264
1;0.292
1.1;0.319
1.2;0.347
1.3;0.373
1.4;0.4
1.5;0.427
1.6;0.454
1.7;0.48
1.8;0.506
1.9;0.531
2;0.556
2.1;0.581
2.2;0.606
2.4;0.655
2.6;0.703
2.8;0.751
3;0.798
3.2;0.844
3.4;0.888
