setting;power
0;-0.002
0.2;0
0.4;0.004
0.6;0.008
0.8;0.012
1;0.017
1.5;0.027
2;0.036
2.5;0.045
3;0.054
3.5;0.062
4;0.069
4.5;0.077
5;0.083
6;0.095
7;0.105
8;0.112
9;0.118
10;0.121
