setting;power
0;-0.005
0.05;-0.005
0.1;0.017
0.15;0.028
0.2;0.041
0.25;0.052
0.3;0.065
0.35;0.076
0.4;0.088
0.45;0.1
0.5;0.11
0.6;0.135
0.7;0.157
0.8;0.18
0.9;0.203
1;0.225
1.1;0.248
1.2;0.271
1.3;0.292
1.4;0.315
1.5;0.336
1.6;0.359
1.7;0.38
1.8;0.401
1.9;0.423
2;0.445
2.2;0.4875
2.4;0.528
2.6;0.57
2.8;0.612
3;0.652
