setting;power
0;-0.002
0.04;0.016
0.1;0.035
0.15;0.05
0.2;0.064
0.25;0.079
0.3;0.092
0.35;0.106
0.4;0.119
0.45;0.131
0.5;0.144
0.6;0.171
0.7;0.1975
0.8;0.225
0.9;0.25
1;0.275
1.1;0.3
1.2;0.325
1.3;0.347
1.4;0.367
1.5;0.39
1.6;0.414
1.7;0.437
1.8;0.459
1.9;0.4815
2;0.502
2.2;0.545
2.4;0.586
2.6;0.628
2.8;0.669
3;0.708
3.2;0.746
3.4;0.777
3.6;0.813
3.8;0.848
4;0.884
