setting ;power
0;-0.002
0.05;-0.002
0.1;-0.002
0.15;0
0.2;0.003
0.25;0.006
0.3;0.01
0.35;0.013
0.4;0.016
0.5;0.023
0.6;0.028
0.7;0.0345
0.8;0.041
0.9;0.047
1;0.053
1.1;0.058
1.2;0.064
1.3;0.069
1.4;0.075
1.6;0.086
1.8;0.097
2;0.108
2.2;0.118
2.4;0.128
2.6;0.138
2.8;0.148
3;0.158
3.5;0.181
4;0.203
4.5;0.225
5;0.246
5.5;0.266
6;0.284
6.5;0.302
7;0.319
7.5;0.334
8;0.349
9;0.375
10;0.396
