setting;power
0;-0.003
0.1;-0.001
0.2;0.007
0.3;0.013
0.4;0.02
0.5;0.027
0.6;0.033
0.8;0.047
1;0.06
1.2;0.072
1.4;0.085
1.6;0.097
1.8;0.109
2;0.121
2.5;0.15
3;0.178
3.5;0.204
4;0.23
4.5;0.254
5;0.278
5.5;0.3
6;0.322
6.5;0.343
7;0.363
7.5;0.381
8;0.399
8.5;0.416
9;0.432
9.5;0.446
10;0.459
