setting;power
0;-0.002
0.1;-0.002
0.2;0.003
0.3;0.009
0.4;0.015
0.5;0.021
0.6;0.026
0.7;0.032
0.8;0.038
0.9;0.043
1;0.049
1.2;0.059
1.4;0.07
1.6;0.08
1.8;0.09
2;0.1
2.2;0.11
2.4;0.12
2.6;0.129
2.8;0.138
3;0.147
3.2;0.156
3.4;0.165
3.6;0.173
3.8;0.182
4;0.19
4.5;0.21
5;0.23
5.5;0.248
6;0.266
6.5;0.283
7;0.299
7.5;0.314
8;0.327
8.5;0.34
9;0.352
9.5;0.362
10;0.372
