setting;power
0;-0.002
0.2;0
0.4;0.0035
0.6;0.007
0.8;0.011
1;0.015
1.5;0.024
2;0.033
2.5;0.042
3;0.049
3.5;0.057
4;0.064
4.5;0.07
5;0.076
5.5;0.082
6;0.087
7;0.096
8;0.103
9;0.107
10;0.11
