setting;power
0;-0.002
0.1;-0.002
0.2;0.001
0.3;0.004
0.4;0.008
0.5;0.011
0.6;0.014
0.7;0.018
0.8;0.021
1;0.027
1.2;0.033
1.4;0.04
1.6;0.046
1.8;0.051
2;0.057
2.5;0.071
3;0.084
3.5;0.097
4;0.109
4.5;0.121
5;0.132
5.5;0.143
6;0.153
6.5;0.162
7;0.171
7.5;0.18
8;0.188
9;0.201
10;0.212
