setting;power
0;-0.002
0.1;-0.002
0.2;0.002
0.3;0.008
0.4;0.014
0.5;0.02
0.6;0.026
0.8;0.037
1;0.048
1.2;0.06
1.4;0.071
1.6;0.082
1.8;0.093
2;0.103
2.2;0.114
2.4;0.125
2.6;0.134
2.8;0.145
3;0.155
3.5;0.179
4;0.203
4.5;0.225
5;0.247
5.5;0.267
6;0.287
6.5;0.306
7;0.324
7.5;0.34
8;0.357
8.5;0.371
9;0.385
9.5;0.395
10;0.406
