setting;power
0;-0.002
0.1;-0.002
0.2;0.002
0.3;0.008
0.4;0.014
0.5;0.02
0.6;0.027
0.7;0.033
0.8;0.039
1;0.051
1.2;0.063
1.4;0.075
1.6;0.087
1.8;0.098
2;0.11
2.2;0.121
2.4;0.132
2.6;0.143
2.8;0.154
3;0.164
3.5;0.19
4;0.215
4.5;0.239
5;0.262
5.5;0.284
6;0.306
6.5;0.325
7;0.344
7.5;0.362
8;0.379
8.5;0.395
9;0.41
9.5;0.424
10;0.436
