setting;power
0;-0.002
0.1;0
0.2;0.007
0.3;0.014
0.4;0.019
0.5;0.026
0.6;0.032
0.7;0.039
0.8;0.045
0.9;0.05
1;0.057
1.2;0.068
1.4;0.08
1.6;0.091
1.8;0.102
2;0.113
2.2;0.123
2.4;0.133
2.6;0.144
2.8;0.154
3;0.164
3.5;0.187
4;0.21
4.5;0.232
5;0.253
5.5;0.274
6;0.293
6.5;0.311
7;0.329
7.5;0.345
8;0.36
8.5;0.374
9;0.387
9.5;0.398
10;0.408
