setting;power
0;-0.005
0.05;-0.005
0.1;0.03
0.15;0.047
0.2;0.063
0.25;0.08
0.3;0.097
0.35;0.114
0.4;0.129
0.45;0.145
0.5;0.159
0.6;0.1915
0.7;0.223
0.8;0.254
0.9;0.284
1;0.316
1.1;0.346
1.2;0.376
1.3;0.408
1.4;0.438
1.5;0.468
1.6;0.498
1.7;0.527
1.8;0.556
2;0.614
2.2;0.671
2.4;0.728
2.6;0.784
2.8;0.839
3;0.892
