setting;power
0;-0.003
0.05;-0.001
0.1;0.004
0.15;0.01
0.2;0.018
0.25;0.025
0.3;0.034
0.35;0.042
0.4;0.05
0.45;0.058
0.5;0.067
0.55;0.075
0.6;0.083
0.7;0.101
0.8;0.118
0.9;0.136
1;0.154
1.1;0.172
1.2;0.19
1.3;0.206
1.4;0.225
1.5;0.243
1.6;0.261
1.7;0.278
1.8;0.295
1.9;0.313
2;0.33
2.2;0.365
2.4;0.4
2.6;0.435
2.8;0.47
3;0.505
3.2;0.539
3.4;0.572
3.6;0.605
3.8;0.638
4;0.671
4.2;0.704
4.4;0.735
4.6;0.767
4.8;0.797
5;0.825
